SerialNumber,Ant,Individual,Treatment,TreatmentID,Response,Day
26,Acromyrmex_volcanus,26,adult,adult1,in,1
27,Acromyrmex_volcanus,27,adult,adult1,in,1
28,Acromyrmex_volcanus,28,adult,adult1,no,1
29,Acromyrmex_volcanus,29,adult,adult1,in,1
30,Acromyrmex_volcanus,30,adult,adult1,no,1
31,Acromyrmex_volcanus,31,adult,adult1,in,1
32,Acromyrmex_volcanus,32,adult,adult1,in,1
33,Acromyrmex_volcanus,33,adult,adult1,in,1
34,Acromyrmex_volcanus,34,adult,adult1,in,1
35,Acromyrmex_volcanus,35,adult,adult1,in,1
36,Acromyrmex_volcanus,36,adult,adult1,in,1
37,Acromyrmex_volcanus,37,adult,adult1,in,1
38,Acromyrmex_volcanus,38,adult,adult1,no,1
39,Acromyrmex_volcanus,39,adult,adult1,in,1
40,Acromyrmex_volcanus,40,adult,adult1,no,1
41,Acromyrmex_volcanus,41,adult,adult1,in,1
42,Acromyrmex_volcanus,42,adult,adult1,in,1
43,Acromyrmex_volcanus,43,adult,adult1,in,1
44,Acromyrmex_volcanus,44,adult,adult1,out,1
45,Acromyrmex_volcanus,45,adult,adult1,in,1
46,Acromyrmex_volcanus,46,adult,adult1,in,1
47,Acromyrmex_volcanus,47,adult,adult1,in,1
48,Acromyrmex_volcanus,48,adult,adult1,no,1
49,Acromyrmex_volcanus,49,adult,adult1,in,1
50,Acromyrmex_volcanus,50,adult,adult1,no,1
249,Atta_cephalotes,26,adult,adult2,in,2
250,Atta_cephalotes,27,adult,adult2,in,2
251,Atta_cephalotes,28,adult,adult2,in,2
252,Atta_cephalotes,29,adult,adult2,in,2
253,Atta_cephalotes,30,adult,adult2,in,2
254,Atta_cephalotes,31,adult,adult2,in,2
255,Atta_cephalotes,32,adult,adult2,in,2
256,Atta_cephalotes,33,adult,adult2,in,2
257,Atta_cephalotes,34,adult,adult2,in,2
258,Atta_cephalotes,35,adult,adult2,in,2
259,Atta_cephalotes,36,adult,adult2,in,2
260,Atta_cephalotes,37,adult,adult2,in,2
